Sr. No.,Projects,Description,Previous Status,Status,Status change Date,OTC,NTL Cost,Profit,Margin,Salesperson/Lead Generation,MSD Team
15,Zakat Foundation of Ameria,Enterprise Network Solution,N/A,Completed,16-Jan-24," PKR 403,650.00 "," PKR 286,000.00 "," PKR 117,650.00 ",41.14%,Zain Humayun,Bilal Jaffery
16,Nadra Chairman,Enterprise Network Solution,N/A,Completed,16-Jan-24," PKR 515,201.00 "," PKR 310,800.00 "," PKR 204,401.00 ",65.77%,Ahmed Tahir,Bilal Jaffery
17,UNODCPK,CCTV Surveillance Solution,N/A,Completed,22-Jan-24," PKR 925,168.00 "," PKR 695,400.00 "," PKR 229,768.00 ",33.04%,Haroon,Bilal Jaffery
18,NIETE (Enterprise),Enterprise Network Solution,N/A,Completed,15-Jan-24," PKR 662,544.00 "," PKR 458,300.00 "," PKR 204,244.00 ",44.57%,Ahmed Tahir,Bilal Jaffery
19,NIETE (CCTV),CCTV Surveillance Solution,N/A,Completed,16-Jan-24," PKR 373,124.00 "," PKR 298,604.00 "," PKR 74,520.00 ",24.96%,Ahmed Tahir,Bilal Jaffery
20,NIETE (Passive),Enterprise & CCTV Solution,N/A,Completed,16-Jan-24," PKR 1,041,601.00 "," PKR 868,001.00 "," PKR 173,600.00 ",20.00%,Ahmed Tahir,Bilal Jaffery
21,Huaweipakchinaevent,Rental Solution,N/A,Completed,15-Jan-24," PKR 650,000.00 "," PKR 50,000.00 "," PKR 600,000.00 ",1200.00%,Armughan Riaz,Hammad Rafiq
22,Pathfinderpsh,Enterprise Network Solution,N/A,Completed,20-Dec-23," PKR 242,990.00 "," PKR 179,992.00 "," PKR 62,997.00 ",35.00%,Ahmed Tahir,Hammad Rafiq
23,US Warehouse,Support Services,N/A,Completed,20-Dec-23," PKR 290,000.00 "," PKR 35,000.00 "," PKR 255,000.00 ",728.57%,Ahmed Tahir,Hammad Rafiq
24,litfibercfda,Litfiber Solution,N/A,Completed,15-Feb-24," PKR 254,250.00 "," PKR 183,600.00 "," PKR 70,650.00 ",38.48%,Shoaib Zafar,Rehan Rauf
25,NSHS,Enterprise Network Solution,Approval in Process,Approval in Process,24-Jan-24," PKR 19,338,824.00 "," PKR 13,777,703.00 "," PKR 5,561,121.00 ",40.36%,Asghar Khan Niazi,Hammad Rafiq
26,Ramada Hotel,Enterprise Wireless Solution,Approval in Process,Approval in Process,1-Jan-24," PKR 8,698,000.00 "," PKR 6,136,400.00 "," PKR 2,561,600.00 ",41.74%,Ahmed Tahir,Hammad Rafiq
27,PMIC,Enterprise Network Solution,BOQ in Progress,Approval in Process,1-Jan-24," PKR 2,375,760.00 "," PKR 1,739,900.00 "," PKR 635,860.00 ",36.55%,Asghar Khan Niazi,Hammad Rafiq
28,NUST Hostels,Enterprise Network Solution,BOQ in Progress,Approval in Process,1-Jan-24," PKR 143,143,370.00 "," PKR 103,012,850.00 "," PKR 40,130,520.00 ",38.96%,Asghar Khan Niazi,Hammad Rafiq
29,Bahria town,Enterprise Network Solution,BOQ in Progress,Approval in Process,1-Jan-24," PKR 8,500,000.00 "," PKR 6,204,380.00 "," PKR 2,295,620.00 ",37.00%,Moueez khan,Hammad Rafiq
